title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
Intelligent multimodel containers: A comprehensive framework for AI-enhanced BIM data integration and semantic linking,2026-07-07,OpenAlex,Advanced Engineering Informatics,https://doi.org/10.1016/j.aei.2026.105035,https://doi.org/10.1016/j.aei.2026.105035,https://www.sciencedirect.com/science/article/pii/S1474034626007275/pdf,80,BIM; bim model; building information model; building information modeling; IFC; ifc model; ifc models; industry foundation class; industry foundation classes,提出一种基于ISO 21597标准的多模型容器框架，通过自然语言接口与本体引导处理，实现IFC模型语义查询与异构数据自动链接，无需修改原始模型即可增强建筑信息模型数据的可访问性与互操作性。
Assessing the Potential of Building Information Modelling to Integrate with Earned Value Management for Effective Project Control,2026-07-07,OpenAlex,Journal of Real Estate Construction & Management,https://doi.org/10.1177/29776570261444795,https://doi.org/10.1177/29776570261444795,,38,BIM; bim-based; building information model; building information modelling,本研究采用系统思维方法，通过两个商业项目的案例实验，探索建筑信息模型（BIM）与挣值管理（EVM）技术的集成潜力。利用Autodesk Revit和Navisworks软件生成4D/5D模型，结合挣值分析计算与定性访谈验证，发现4D BIM时间线模拟能直观预测进度延误和预算超支，同时揭示了Navisworks在显示延误成本参数方面的局限性。
Transforming Construction Risk Management and Resource Optimization: A Machine Learning and Big Data Perspective,2026-07-07,OpenAlex,Journal of Civil Engineering,https://doi.org/10.12962/j25799029.v41i2.10467,https://doi.org/10.12962/j25799029.v41i2.10467,https://journal.its.ac.id/index.php/jce/article/download/10467/8198,30,BIM; building information model; building information modeling; digital twin,基于PRISMA-P方法对5756篇文献筛选后，对154项研究进行质量评估，最终综合59项高质量研究，发现机器学习在施工风险预测中准确率达93.75%，设备匹配达97.6%，并提出了AI增强风险预测与智能资源管理两大框架。
Unlocking 3D BIM’s Potential: 3DSMS for Efficient Space Management,2026-07-07,OpenAlex,ALAM CIPTA International Journal Of Sustainable Tropical Design & Practice,https://doi.org/10.47836/ac.19.s1.paper10,https://doi.org/10.47836/ac.19.s1.paper10,https://doi.org/10.47836/ac.19.s1.paper10,30,BIM; building information model; building information modeling,针对BIM与空间管理系统的互操作性问题，提出3DSMS框架，通过分析现状并设计集成化门户方案，实现高效空间管理所需数据的可视化与查询功能。
"Construção Civil 4.0: tecnologia, gestão e inovação em obras",2026-07-07,OpenAlex,Educação & Inovação,https://doi.org/10.64326/educao.v2i11.434,https://doi.org/10.64326/educao.v2i11.434,https://www.educacaotecnologica.com.br/index.php/ojs/article/download/434/711,27,BIM; building information model; building information modeling,通过整合性文献回顾，分析了建筑4.0中BIM、精益建造等数字技术对规划、管理与执行流程的重组作用，发现其能改善团队沟通、减少返工并强化运营规划，同时指出数字化转型依赖专业培训与流程重组。
Temporally Qualified Building Elements: A DOLCE-Based Ontology for Phase-Dependent Identity and Change Tracking in BIM Models,2026-07-06,OpenAlex,Technologies,https://doi.org/10.3390/technologies14070413,https://doi.org/10.3390/technologies14070413,https://doi.org/10.3390/technologies14070413,89,BIM; bim model; bim models; building information model; building information modeling; IFC; ifc file; ifc files; industry foundation class; industry foundation classes,针对BIM模型中建筑元素跨阶段身份碎片化与变更追踪缺失问题，基于DOLCE基础本体构建BIM-Phase本体，通过区分持续实体与发生实体并采用OWL 2 DL表达阶段属性，实现跨阶段变更记录与查询。
Structuring Cost Information in BIM: A Property-Based Mapping Between Regional Price Lists and IFC,2026-07-06,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132677,https://doi.org/10.3390/buildings16132677,https://doi.org/10.3390/buildings16132677,60,BIM; building information model; building information modeling; IFC; industry foundation class; industry foundation classes,该研究通过归纳式案例设计，将威尼托大区的价格清单与IFC标准进行属性映射，选取六类代表性构件（楼板、隔墙、石膏板、抹灰、门、窗）分析其可映射参数。该方法通过IFC属性集对成本项特征进行形式化与标准化，减少了主观性，为半自动化模型到成本估算奠定了基础。
BIM-Based Construction Accidents Knowledge Database Management System: Centralized Accessible Information Repository for Enhanced Learning from the Past,2026-07-06,OpenAlex,Journal of Construction Engineering and Management,https://doi.org/10.1061/jcemd4.coeng-17678,https://doi.org/10.1061/jcemd4.coeng-17678,https://doi.org/10.1061/jcemd4.coeng-17678,46,BIM; bim model; bim-based; building information model; building information modeling,针对施工事故历史数据管理中的知识共享与学习障碍，开发了基于BIM的施工事故知识数据库管理系统，通过将事故数据集成到三维模型中生成动画与模拟，经验证可提升信息可访问性、标准化数据录入，并降低认知负荷以增强安全培训与协作。
Adapting Professional Competencies to BIM-Supported Design Studio,2026-07-06,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132670,https://doi.org/10.3390/buildings16132670,https://doi.org/10.3390/buildings16132670,30,BIM; building information model; building information modeling,本研究针对建筑信息模型（BIM）支持的设计工作室，开发了一个教学评估框架，以整合专业BIM能力并衡量学生能力发展。通过四年间对409名建筑与室内设计专业学生的纵向分析，发现学生在BIM项目中的技术技能有限，且在协作与数据管理方面存在不足。
Fire Safety and Risk Assessment in Healthcare Facilities: A Systematic Review,2026-07-06,OpenAlex,PaperAsia,https://doi.org/10.59953/paperasia.v42i3b.1091,https://doi.org/10.59953/paperasia.v42i3b.1091,https://compendiumpaperasia.com/index.php/cpa/article/download/1091/559,22,building information model; building information modelling,通过系统综述2013至2025年间35篇同行评审研究，识别出医疗设施火灾风险评估的六大主题领域，发现现有框架多沿用通用建筑背景，未充分纳入患者行动不便、持续运营等医疗特有复杂性，且建筑信息模型等数字工具应用有限。
BIM-integrated digital twin framework for data collection and assessment of existing RC buildings,2026-07-05,OpenAlex,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2026.133555,https://doi.org/10.1016/j.eswa.2026.133555,,13,BIM; digital twin,基于标题、来源和关键词，该研究提出一个集成BIM的数字孪生框架，用于既有钢筋混凝土建筑的数据采集与评估。
"Análisis comparativo de la metodología convencional y Building Information Modeling (BIM) en expedientes técnicos de vías urbanas: estudio de caso del distrito de Chilca, Huancayo, Perú",2026-07-04,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21206698,https://doi.org/10.5281/zenodo.21206698,https://doi.org/10.5281/zenodo.21206698,34,BIM; building information model; building information modeling,该研究以秘鲁Chilca地区城市道路技术文件为案例，对比传统方法与BIM方法的应用效果。结果显示，BIM使项目预算降低5.37%，工期缩短4.00%，有效提升了规划、协调与项目管理水平。
Interoperability Evaluation of BIM Data Transfer from Autodesk Revit to Robot Structural Analysis,2026-07-04,OpenAlex,Enrichment Journal of Multidisciplinary Research and Development,https://doi.org/10.55324/enrichment.v4i4.698,https://doi.org/10.55324/enrichment.v4i4.698,https://journalenrichment.com/index.php/jr/article/download/698/607,30,BIM; building information model; building information modeling,评估了从Autodesk Revit到Robot Structural Analysis的单向数据互操作性，通过多层钢筋混凝土建筑案例测试几何、材料、荷载等参数，发现原生API方法虽实现100%参数准确率，但需大量手动调整，并提出了标准化预处理步骤以减少结构分析前的误读错误。
DIGITAL TECHNOLOGIES IN CONSTRUCTION PROJECT MANAGEMENT,2026-07-04,OpenAlex,Bulletin of NTU KhPI Series Strategic Management Portfolio Program and Project Management,https://doi.org/10.20998/2413-3000.2026.12.1,https://doi.org/10.20998/2413-3000.2026.12.1,https://doi.org/10.20998/2413-3000.2026.12.1,30,BIM; building information model; building information modeling; digital twin,本研究采用文献分析与案例研究方法，系统评估了建筑信息模型（BIM）、物联网、人工智能和数字孪生四项数字技术在建筑项目全生命周期中的作用与影响。研究发现，BIM在项目早期阶段对跨学科协调、冲突检测、可视化及成本时间管理具有显著提升效果。
ЦИФРОВІ ТЕХНОЛОГІЇ В УПРАВЛІННІ БУДІВЕЛЬНИМИ ПРОЄКТАМИ,2026-07-04,OpenAlex,The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy,,https://openalex.org/W7167450003,https://pm.khpi.edu.ua/article/download/363171/348569,30,BIM; building information model; building information modeling; digital twin,本研究采用文献分析与案例研究法，探讨BIM、物联网、人工智能和数字孪生四大数字技术在建筑项目全生命周期中的作用。结果显示，BIM在早期阶段对跨专业协调、冲突检测、可视化及成本时间管理具有显著提升效果。
Understanding the Planning Process for Nonroutine Railway Interventions in Switzerland,2026-07-04,OpenAlex,Journal of Infrastructure Systems,https://doi.org/10.1061/jitse4.iseng-2893,https://doi.org/10.1061/jitse4.iseng-2893,,22,building information model; building information modeling,本研究采用BPMN 2.0建模方法，系统描述了瑞士铁路机构非例行干预规划的完整流程，涵盖网络开发、干预规划、生产规划等七个关键阶段。研究揭示了规划过程碎片化导致效率低下的核心挑战，并指出提升流程透明度、跨部门协调及决策支持等改进方向。
Research on Low Carbon During the Construction Design Process Based on BIM and Life Cycle Assessment,2026-07-03,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132653,https://doi.org/10.3390/buildings16132653,https://www.mdpi.com/2075-5309/16/13/2653/pdf?version=1783074671,57,BIM; bim model; bim models; building information model; building information modelling; IFC; ifc-based,提出一种基于BIM与生命周期评估的不确定性感知低碳设计方法，集成IFC模型自动算量、蒙特卡洛模拟概率碳评估及可解释机器学习优化。以重庆某中层住宅为案例，该方法将隐含碳排放不确定性降低约20%，并通过优化实现38.13%的碳减排。
"Integration of AI, BIM, and CGI in Interior Design: From Conceptual Visualization to Managed Construction Delivery",2026-07-03,OpenAlex,Universal Library of arts and humanities.,https://doi.org/10.70315/uloap.ulahu.2026.0303001,https://doi.org/10.70315/uloap.ulahu.2026.0303001,https://doi.org/10.70315/uloap.ulahu.2026.0303001,37,BIM; bim-based; building information model; building information modeling,通过系统文献综述、市场数据分析及跨大西洋设计公司实践案例，提出四阶段集成工作流模型，整合AI概念生成、高保真CGI渲染与BIM施工数据，弥合概念可视化与施工文档的鸿沟。结合欧洲设计方法、AI可视化与BIM文档的公司，在项目周转速度和客户审批率上取得可量化提升。
STRATEGI SKALABILITAS DAN PENGEMBANGAN BIRO ARSITEKTUR SKALA KECIL MENUJU PROFESIONAL MELALUI PENGGUNAAN BUILDING INFORMATION MODELING (BIM),2026-07-03,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21157483,https://doi.org/10.5281/zenodo.21157483,https://doi.org/10.5281/zenodo.21157483,34,BIM; building information model; building information modeling,本研究探讨小型建筑事务所通过应用建筑信息模型（BIM）实现规模化与专业化发展的策略，基于标题与关键词分析其方法贡献。
A Cross-Domain Architect's Perspective on the Parallel Evolution from Level 2 to Level 3 BIM and from Deterministic Systems to Cyber-Cybernetical Twins,2026-07-03,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21165007,https://doi.org/10.5281/zenodo.21165007,https://doi.org/10.5281/zenodo.21165007,33,BIM; building information model; building information modelling; digital twin,该文从跨领域架构师视角，分析了建筑信息模型从第2级到第3级的演进与IT基础设施从确定性系统向网络-网络孪生的并行发展，论证两者在挑战、原则和解决方案模式上具有同构性，并强调跨物理与数字基础设施整合能力对英国国家数字孪生计划的关键价值。
Fire Hazard Identification in Large-Scale 4-Dimensional Building Information Models: A Voxelization-Based Approach,2026-07-03,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132655,https://doi.org/10.3390/buildings16132655,https://doi.org/10.3390/buildings16132655,31,BIM; bim model; bim models; building information model,提出一种基于体素化的火灾危险识别方法，适用于大规模四维建筑信息模型。该方法通过将BIM离散化为可重复使用的体素，同时识别点火源与施工活动及建筑构件的交集，并利用体素邻近搜索实现快速精确的火灾隐患检测，验证显示其空间误差可控且效率显著优于传统方法。
"Embracing virtual reality technology in building information modelling education: the interplay of technological anxiety, sensation seeking and motivation",2026-07-03,OpenAlex,Engineering Construction & Architectural Management,https://doi.org/10.1108/ecam-12-2024-1794,https://doi.org/10.1108/ecam-12-2024-1794,,31,BIM; building information model; building information modelling,基于技术接受模型，结合内在动机、外在动机、技术焦虑和感觉寻求等个人因素，通过结构方程模型分析276份问卷数据，探究影响学习者接受虚拟现实技术用于BIM学习的因素。研究发现外在动机和内在动机正向影响使用意愿，而技术焦虑负向影响感知有用性、易用性和态度，感觉寻求则正向影响态度。
"BIM Adoption Among Small and Medium-Sized Enterprises in the Construction Industry: A Socio-Technical Reading of Market Fragmentation, Organizational Constraint, and Incremental Digital Transformation, with Insights from the Portuguese Context",2026-07-03,OpenAlex,Buildings,https://doi.org/10.3390/buildings16132649,https://doi.org/10.3390/buildings16132649,https://doi.org/10.3390/buildings16132649,30,BIM; building information model; building information modeling,基于结构化文献综述与解释性评分框架，发现建筑行业中小企业采用BIM是受技术、财务、组织与人力维度影响的复杂社会技术过程。研究将行业碎片化概念化为强化障碍的条件，并提出渐进式、情境适应的协作方法。
A quality function deployment (QFD) framework for prioritising BIM-Lean synergies: a design science study,2026-07-03,OpenAlex,International Journal of Quality & Reliability Management,https://doi.org/10.1108/ijqrm-10-2025-0363,https://doi.org/10.1108/ijqrm-10-2025-0363,,30,BIM; building information model; building information modelling,提出基于质量功能展开（QFD）的BIM-精益协同关系评估方法（BLRAM），通过将精益目标转化为可量化的BIM功能，优先识别并衡量两者协同强度。采用设计科学研究方法，结合21位专家访谈验证，发现BIM与精益的交互存在功能不对称性，BIM功能对精益目标的推动作用更强。
"Design-to-Manufacturing Integration for Prefabricated Timber Construction in Australia: A Systematic Review and Conceptual Framework Linking BIM, CAD/CAM and CNC Workflows",2026-07-03,OpenAlex,Sustainability,https://doi.org/10.3390/su18136790,https://doi.org/10.3390/su18136790,https://www.mdpi.com/2071-1050/18/13/6790/pdf?version=1783085900,30,BIM; building information model; building information modelling,通过PRISMA系统综述方法，分析了60篇同行评审文献和32份行业技术资料，揭示了澳大利亚预制木结构建筑中BIM、CAD/CAM与CNC工作流整合面临的软件碎片化、数据交换不一致及制造商参与不足等挑战，并提出了一个强调早期协作、共享参数逻辑和制造商就绪数据的概念性数字集成框架。
Đánh giá khả năng ứng dụng BIM trong quản lý rủi ro về tiến độ và chi phí: Nghiên cứu đối với dự án hạ tầng giao thông tại Hà Nội,2026-07-03,OpenAlex,Tạp chí Vật liệu & Xây dựng - Bộ Xây dựng,https://doi.org/10.54772/jomc.04.2026.1409,https://doi.org/10.54772/jomc.04.2026.1409,https://doi.org/10.54772/jomc.04.2026.1409,30,BIM; building information model; building information modeling,通过专家调查与描述性统计方法，评估河内交通基础设施项目中影响工期与成本的各类风险，并分析BIM对相应风险的缓解能力。研究发现，征地与法律风险影响最大，而BIM在设计变更风险控制方面支持效果最显著，据此提出基于影响程度与BIM支持能力的风险分类矩阵。
Automatic 3D Building Model Generation for Energy Digital Twins,2026-07-03,OpenAlex,"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",https://doi.org/10.5194/isprs-annals-xi-1-2026-447-2026,https://doi.org/10.5194/isprs-annals-xi-1-2026-447-2026,https://isprs-annals.copernicus.org/articles/XI-1-2026/447/2026/isprs-annals-XI-1-2026-447-2026.pdf,23,BIM; digital twin; IFC; scan-to-bim,提出一种面向能源数字孪生的统一多表示建筑模型，通过映射层协同维护水密实体与拓扑保持的边界表示，并集成扫描到BIM重建、拓扑建模与语义增强流程，实现点云到多层级数字孪生实例的自动生成，验证了端到端方法在互操作性能源分析与监测中的有效性。
Readiness Assessment of Construction Firms for Fourth Industrial Revolution Implementation in Nigeria,2026-07-03,OpenAlex,GLOBAL JOURNAL OF MODERN RESEARCH AND EMERGING TRENDS,https://doi.org/10.67487/gjmret.v2i4.226,https://doi.org/10.67487/gjmret.v2i4.226,https://wordastrajournals.com/index.php/gjmret/article/download/226/181,22,building information model; building information modelling,通过结构化叙事-系统综述和文献综合，构建了涵盖技术、组织和环境维度的十六变量准备度框架，评估尼日利亚建筑企业实施第四次工业革命（含BIM）的准备情况。发现企业准备度普遍偏低至中等，主要受限于ICT基础设施不足、资金有限、数字人才匮乏及政策支持薄弱。
Interdisciplinary Collaboration in Sustainable Interior Architecture Education in the 4IR Era: A Grounded Theory Approach,2026-07-03,OpenAlex,Journal of Curriculum Development Studies,https://doi.org/10.64907/xkmf.v5i3.jocds.4,https://doi.org/10.64907/xkmf.v5i3.jocds.4,https://doi.org/10.64907/xkmf.v5i3.jocds.4,22,building information model; building information modelling,基于建构主义扎根理论方法，通过分析现有文献，构建了一个解释4IR时代可持续室内建筑教育中跨学科协作如何运作的理论框架。研究发现，跨学科协作是一个由教学整合、技术中介和可持续能力三个核心维度塑造的动态迭代过程，其中建筑信息模型等数字技术能促进协作，但制度约束和学科壁垒仍是主要障碍。
Automatic Scan-to-BIM: The Impact of Semantic Segmentation Accuracy on Opening Detection,2026-07-03,OpenAlex,"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",https://doi.org/10.5194/isprs-annals-xi-1-2026-437-2026,https://doi.org/10.5194/isprs-annals-xi-1-2026-437-2026,https://isprs-annals.copernicus.org/articles/XI-1-2026/437/2026/isprs-annals-XI-1-2026-437-2026.pdf,18,BIM; scan-to-bim,比较五种深度学习模型在扫描到BIM流程中开口检测的性能，通过统一评估框架分析语义分割精度对几何重建的影响。实验表明Swin3D门检测率最高达96.9%，但高分割精度不总能保证精确几何重建。
Editorial,2026-07-03,OpenAlex,Proceedings of the Institution of Civil Engineers - Municipal Engineer,https://doi.org/10.1680/jmuen.2026.179.2.91,https://doi.org/10.1680/jmuen.2026.179.2.91,,8,BIM; digital twin,这篇社论指出，在建筑信息模型（BIM）和数字孪生等技术驱动下，基础设施项目的成功关键在于有效整合人力、组织与技术维度，而非单纯依赖先进技术。
"Digital Twins and Virtual Reality in Museum-Oriented Built Heritage: Conservation, Architectural Documentation, and Visitor Experience with Implications for Stone-Built Museums",2026-07-02,OpenAlex,Applied Sciences,https://doi.org/10.3390/app16136604,https://doi.org/10.3390/app16136604,https://doi.org/10.3390/app16136604,54,building information model; building information modelling; digital twin; IFC; industry foundation class; industry foundation classes,对465篇Web of Science收录的博物馆建筑遗产文献进行文献计量分析，发现数字孪生与虚拟现实研究存在文档与体验两大分离领域；提出基于IFC互操作性的三支柱框架，将结构文档、沉浸体验与可持续管理整合于石质博物馆案例中。
Heritage BIM Dynamo Workflow: Scripts for Adaptive Reuse Coordination,2026-07-02,OpenAlex,Open MIND,https://doi.org/10.5281/zenodo.21137963,https://doi.org/10.5281/zenodo.21137963,https://github.com/Snega90/heritage-bim-dynamo-workflow,30,BIM; building information model; building information modelling,该研究开发了一套Dynamo脚本，用于支持历史建筑的自适应再利用协调工作流，通过自动化数据提取、几何检查及Revit与下游分析工具间的信息交换，减少人工操作。脚本基于联合国教科文组织世界遗产地案例数据测试，旨在促进建筑信息模型、遗产保护与可持续改造设计的交叉应用。
BIM Data Dictionaries for Semantic Classification and Attribution of Geospatial Features in GISs,2026-07-02,OpenAlex,ISPRS International Journal of Geo-Information,https://doi.org/10.3390/ijgi15070301,https://doi.org/10.3390/ijgi15070301,https://www.mdpi.com/2220-9964/15/7/301/pdf?version=1782993326,30,BIM; building information model; building information modeling,研究BIM数据字典在GIS中对矢量地理空间要素的语义分类与属性标注的应用，通过比较标准元模型并开发三种分类方法，在QGIS中验证了buildingSMART数据字典（bSDD）可有效增强地理数据的语义互操作性。
Beyond the Last Mile: A Systematic Review Exploring Indoor Delivery-UAV Requirements in the Last-Meter Context,2026-07-02,OpenAlex,Sustainability,https://doi.org/10.3390/su18136728,https://doi.org/10.3390/su18136728,https://www.mdpi.com/2071-1050/18/13/6728/pdf?version=1782995255,27,BIM; building information model; building information modeling,该研究通过PRISMA方法系统综述297篇文献，构建涵盖空间移动性、物流能力、社会接受度和操作协调性的统一分析框架，揭示室内配送需满足微尺度导航精度、几何安全包络、人机交互及隐私敏感性等约束，并提出包含BIM的建筑管理导向指标框架。
"Resource management in construction projects: research trends, challenges, and the role of digital technologies",2026-07-02,OpenAlex,International Journal of Construction Management,https://doi.org/10.1080/15623599.2026.2696347,https://doi.org/10.1080/15623599.2026.2696347,https://www.tandfonline.com/doi/pdf/10.1080/15623599.2026.2696347?needAccess=true,27,BIM; building information model; building information modeling,通过文献综述和澳大利亚行业从业者访谈，识别出施工资源管理从早期AI方法到数字化与机器学习等五个发展阶段，以及沟通协调不畅、资源估算不准等关键挑战；研究指出BIM和AI等数字技术是应对这些挑战的核心工具，并强调需结合技术、组织实践与政策支持的系统级方法。
Clash-Free 3D MEPF BIM Model for a 6-Storey Healthcare Facility | Scan to BIM Case Study,2026-07-02,OpenAlex,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.21125340,https://doi.org/10.5281/zenodo.21125340,https://doi.org/10.5281/zenodo.21125340,27,BIM; bim model; scan to bim,通过点云数据转换、自定义Revit族创建及Navisworks碰撞检测，为美国印第安纳州一栋6层医疗设施构建了无冲突的3D MEPF BIM模型，实现了LOD 350+的多专业协调与零未解决碰撞交付。
BIM-Integrated Life Cycle Analysis Framework for Sustainable Urban Design Under Climate-Responsive Building Physics,2026-07-02,OpenAlex,Sustainability,https://doi.org/10.3390/su18136733,https://doi.org/10.3390/su18136733,https://www.mdpi.com/2071-1050/18/13/6733/pdf?version=1782995148,8,BIM,本研究提出了一种BIM集成的生命周期分析框架，用于在区域尺度下评估气候响应型城市能源性能。通过米兰混合用途区域的案例，将参数化BIM模型与建筑能耗模拟结合，分析了基准、围护结构优化及未来气候三种情景，发现优化可降低能耗强度15–22%，且气候变化主要重新分配供暖与制冷需求。
BIM in retrospect for the existing built environment – challenges and implications,2026-07-01,OpenAlex,International Journal of Building Pathology and Adaptation,https://doi.org/10.1108/ijbpa-09-2024-0171,https://doi.org/10.1108/ijbpa-09-2024-0171,https://research.manchester.ac.uk/en/publications/a33272f6-b05d-4134-b6e4-6f4e9ab38a3b,52,BIM; bim model; bim models; building information model; building information modelling; scan-to-bim,针对既有建筑二维图纸严重过时的问题，采用混合研究方法，以英国诺森比亚大学为案例，提出了一种经济高效的逆向BIM方法，重点优化照明系统，为提升设施管理效率奠定基础。
